//Log file created (Version=1) on 10:09:59  02-Apr-2013AM for Subject=002, Session=1
//[SendTrigger] Initialization
//TrialList generated at  3493.9068
//Screen dimensions are 1024x768
3	7	 4310.7042	TrialResponse[Go]	1	99
3	7	 4310.7042	TrialResponse[Go]	1	99
3	7	 4315.6369	TrialResponse[No Go]	1	100
3	8	 4318.6197	TrialResponse[Go]	1	101
3	8	 4318.6197	TrialResponse[Go]	1	101
3	8	 4322.9031	TrialResponse[Go]	1	102
3	8	 4322.9031	TrialResponse[Go]	1	102
3	8	 4326.9685	TrialResponse[Go]	1	103
3	8	 4326.9685	TrialResponse[Go]	1	103
3	8	 4330.7346	TrialResponse[Go]	1	104
3	8	 4330.7346	TrialResponse[Go]	1	104
3	8	 4335.9005	TrialResponse[No Go]	1	105
3	9	 4339.0501	TrialResponse[Go]	1	106
3	9	 4339.0501	TrialResponse[Go]	1	106
3	9	 4343.1328	TrialResponse[Go]	1	107
3	9	 4343.1328	TrialResponse[Go]	1	107
3	9	 4348.1155	TrialResponse[No Go]	1	108
4	9	 4463.2033	ScannerStart	1
4	1	 4465.2983	TrialResponse[Go]	1	109
4	1	 4465.2983	TrialResponse[Go]	1	109
4	1	 4469.3810	TrialResponse[Go]	1	110
4	1	 4469.3810	TrialResponse[Go]	1	110
4	1	 4474.3970	TrialResponse[No Go]	1	111
4	2	 4477.4132	TrialResponse[Go]	1	112
4	2	 4477.4132	TrialResponse[Go]	1	112
4	2	 4481.5126	TrialResponse[Go]	1	113
4	2	 4481.5126	TrialResponse[Go]	1	113
4	2	 4485.4954	TrialResponse[Go]	0	114
4	2	 4485.4954	TrialResponse[Go]	0	114
4	3	 4489.8116	TrialResponse[Go]	1	115
4	3	 4489.8116	TrialResponse[Go]	1	115
4	3	 4493.5944	TrialResponse[Go]	1	116
4	3	 4493.5944	TrialResponse[Go]	1	116
4	3	 4497.5270	TrialResponse[Go]	1	117
4	3	 4497.5270	TrialResponse[Go]	1	117
4	3	 4502.8262	TrialResponse[No Go]	1	118
4	4	 4505.6429	TrialResponse[Go]	1	119
4	4	 4505.6429	TrialResponse[Go]	1	119
4	4	 4510.1918	TrialResponse[Go]	1	120
4	4	 4510.1918	TrialResponse[Go]	1	120
4	4	 4513.9746	TrialResponse[Go]	1	121
4	4	 4513.9746	TrialResponse[Go]	1	121
4	4	 4517.6088	TrialResponse[Go]	1	122
4	4	 4517.6088	TrialResponse[Go]	1	122
4	4	 4523.1567	TrialResponse[No Go]	1	123
4	5	 4525.7902	TrialResponse[Go]	1	124
4	5	 4525.7902	TrialResponse[Go]	1	124
4	5	 4530.3390	TrialResponse[Go]	1	125
4	5	 4530.3390	TrialResponse[Go]	1	125
4	5	 4534.5049	TrialResponse[Go]	1	126
4	5	 4534.5049	TrialResponse[Go]	1	126
4	5	 4539.4042	TrialResponse[No Go]	1	127
4	6	 4541.9884	TrialResponse[Go]	1	128
4	6	 4541.9884	TrialResponse[Go]	1	128
4	6	 4546.9365	TrialResponse[Go]	1	129
4	6	 4546.9365	TrialResponse[Go]	1	129
4	6	 4550.5693	TrialResponse[Go]	1	130
4	6	 4550.5693	TrialResponse[Go]	1	130
4	6	 4554.6020	TrialResponse[Go]	1	131
4	6	 4554.6020	TrialResponse[Go]	1	131
4	6	 4559.7013	TrialResponse[No Go]	1	132
4	7	 4562.7509	TrialResponse[Go]	1	133
4	7	 4562.7509	TrialResponse[Go]	1	133
4	7	 4566.8836	TrialResponse[Go]	1	134
4	7	 4566.8836	TrialResponse[Go]	1	134
4	7	 4570.9496	TrialResponse[Go]	1	135
4	7	 4570.9496	TrialResponse[Go]	1	135
4	7	 4575.9489	TrialResponse[No Go]	1	136
4	8	 4579.1650	TrialResponse[Go]	1	137
4	8	 4579.1650	TrialResponse[Go]	1	137
4	8	 4583.3312	TrialResponse[Go]	1	138
4	8	 4583.3312	TrialResponse[Go]	1	138
4	8	 4587.1648	TrialResponse[Go]	1	139
4	8	 4587.1648	TrialResponse[Go]	1	139
4	8	 4591.4466	TrialResponse[Go]	1	140
4	8	 4591.4466	TrialResponse[Go]	1	140
4	8	 4596.2794	TrialResponse[No Go]	1	141
4	9	 4599.4955	TrialResponse[Go]	1	142
4	9	 4599.4955	TrialResponse[Go]	1	142
4	9	 4603.3949	TrialResponse[Go]	1	143
4	9	 4603.3949	TrialResponse[Go]	1	143
4	9	 4607.3276	TrialResponse[Go]	0	144
4	9	 4607.3276	TrialResponse[Go]	0	144
[ExitStudy] Finished successfully at 10:29:21

